,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes,fold
15178,221,82,1,Bbmaj7,Bb7,E7,"61,62,64,66,69,68",7
15179,221,82,3,Db7,G7,Eb7,"64,65,67,61",7
15180,221,83,1,Gbmaj7,Cmaj7,Gb7,"63,65,67",7
15181,221,83,3,A7,A-7,A7,"70,67,63,60",7
15182,221,84,1,Dmaj7,Dmaj7,D7,"59,61,63,66,64,66,68,71",7
15183,221,85,1,D-7,G7,F-7,"67,65,64,62",7
15184,221,85,3,Eb7,G7,G7,"60,64,67,72",7
15185,221,86,1,Abmaj7,Abmaj7,Abmaj7,,7
15186,221,86,3,B7,G7,Gmaj7,"67,65",7
15187,221,87,1,Emaj7,E7,Emaj7,"63,59,56,61,58",7
15188,221,87,3,G7,A-7,F-7,"61,70",7
15189,221,88,1,Cmaj7,Cmaj7,C7,"69,68,67,70,69,66,64,62,65",7
15190,221,89,1,C-7,A-7,C-7,"67,68,67,65",7
15191,221,89,3,Db7,F7,F7,"63,62,60,58",7
15192,221,90,1,Gbmaj7,Cmaj7,Gb7,"60,62,65,69",7
15193,221,90,3,A7,Cmaj7,Ebmaj7,"72,69",7
15194,221,91,1,Dmaj7,D-7,Dmaj7,68,7
15195,221,91,3,F7,G7,F-7,"69,70,69,67",7
15196,221,92,1,Bbmaj7,Bb7,Emaj7,"65,63,62,60,57,60,62,65,61",7
15197,221,93,1,E7,G7,Eb7,"63,65,75,72,67",7
15198,221,94,1,F7,A-7,Eb7,"65,61,58,64,66,67,69,63",7
15199,221,95,1,Bbmaj7,Bb7,E7,"65,67,69,70,63",7
15200,221,96,1,Ebmaj7,A-7,Eb7,"59,56,61,58,61,66,70",7
15201,221,97,1,E-7,A-7,A-7,"69,68,67,71",7
15202,221,97,3,F7,A7,A7,"69,66,64,62,66",7
15203,221,98,1,Bbmaj7,Bb7,E7,"67,69,71,62",7
15204,221,98,3,Db7,G7,Bb7,"63,65,66",7
15205,221,99,1,Gbmaj7,Cmaj7,Gb7,"63,62,61,63",7
15206,221,99,3,A7,A-7,A7,"60,63,68,72,71",7
15207,221,100,1,Dmaj7,Dmaj7,Dmaj7,"69,68,66,64,66,68,71,67",7
15208,221,101,1,D-7,G7,F-7,"65,64,62,60",7
15209,221,101,3,Eb7,G7,G7,"62,64,67,72",7
15210,221,102,1,Abmaj7,Abmaj7,Abmaj7,"71,69,68,67",7
15211,221,102,3,B7,G7,G7,"63,62,60,63",7
15212,221,103,1,Emaj7,E7,Emaj7,"59,56,61,58",7
15213,221,103,3,G7,A-7,F-7,,7
15214,221,104,1,Cmaj7,Cmaj7,C7,"69,68,67,71,69,67,66,64,62",7
15215,221,105,1,C-7,A-7,C-7,"65,69,67",7
15216,221,105,3,Db7,F7,F7,"65,63,62,60",7
15217,221,106,1,Gbmaj7,Cmaj7,Gb7,"58,60,62,65,69",7
15218,221,106,3,A7,Cmaj7,Ebmaj7,"58,59",7
15219,221,107,1,Dmaj7,D-7,D7,57,7
15220,221,107,3,F7,G7,F-7,"56,57,55",7
15221,221,108,1,Bbmaj7,Bb7,Emaj7,"53,51,49,48,46,53,55",7
15222,221,109,1,E7,G7,Bb7,"58,60,63,65,61,63,65,67",7
15223,221,110,1,F7,A-7,Eb7,"69,51,55,58",7
15224,221,111,1,Bbmaj7,Bb7,E7,"51,57,62,60,57",7
15225,221,112,1,Eb7,A-7,Bb7,"63,59,56,61,58,54,55,58",7
15226,221,113,1,E-7,Abmaj7,Abmaj7,"57,56,55,59",7
15227,221,113,3,F7,A7,A7,"57,54,52,50,54",7
15228,221,114,1,Bbmaj7,Bb7,E7,"55,57,59",7
15229,221,114,3,Db7,G7,Eb7,"50,52,55",7
15230,221,115,1,Gbmaj7,Cmaj7,Gb7,"50,55",7
15231,221,115,3,A7,A-7,F7,"51,53,56,60",7
15232,221,116,1,Dmaj7,Dmaj7,Dmaj7,"59,61,63,66,64,66,68,71",7
15233,221,117,1,D-7,G7,F-7,"67,60",7
15234,221,117,3,Eb7,G7,G7,,7
15235,221,118,1,Abmaj7,Abmaj7,Abmaj7,,7
15236,221,118,3,B7,G7,G7,"60,63,67",7
15237,221,119,1,Emaj7,E7,Emaj7,"63,59,56,61",7
15238,221,119,3,G7,A-7,F-7,"58,61,66,70",7
15239,221,120,1,Cmaj7,Cmaj7,Cmaj7,"69,68,67,71,69,66,64,62",7
15240,221,121,1,C-7,A-7,C-7,"65,69,67",7
15241,221,121,3,Db7,F7,F7,"65,63,62,60",7
15242,221,122,1,Gbmaj7,Cmaj7,Gb7,"58,60,62,65,72",7
15243,221,122,3,A7,Cmaj7,Ebmaj7,,7
15244,221,123,1,Dmaj7,D-7,D7,"71,72",7
15245,221,123,3,F7,G7,F-7,"69,72,69",7
15246,221,124,1,Bbmaj7,Bb7,Emaj7,"67,65,63,62,60",7
15247,221,125,1,E7,G7,Eb7,"58,60,62,75,72",7
15248,221,126,1,F7,A-7,Eb7,"75,72",7
15249,221,127,1,Bbmaj7,Bb7,E7,,7
15250,221,128,1,Eb7,A-7,Eb7,,7
15251,222,1,3,D7,F-7,F7,"62,64,66,69",8
15252,222,2,1,Gmaj7,G7,G-7,"67,62,59",8
15253,222,2,3,Bb7,C7,G-7,"59,56,55,53",8
15254,222,3,1,Ebmaj7,Ebmaj7,A-7,"51,53,55,56,58,60,62,65",8
15255,222,4,1,A-7,Abmaj7,Bmaj7,"64,60,56,55",8
15256,222,4,3,D7,D7,D7,"54,63,62,60",8
15257,222,5,1,Gmaj7,Gmaj7,G-7,"59,62,67,71",8
15258,222,5,3,Bb7,G-7,G-7,"62,65,68,72",8
15259,222,6,1,Ebmaj7,Ebmaj7,A-7,"63,65,67,70",8
15260,222,6,3,Gb7,Abmaj7,C7,"64,68,70,73",8
15261,222,7,1,Cbmaj7,F-7,Bmaj7,"70,68,66",8
15262,222,8,1,F-7,E7,F-7,"70,69,68,67",8
15263,222,8,3,Bb7,Bb7,Bb7,"65,63,62,60",8
15264,222,9,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,68,67,62,65,63,62,65",8
15265,222,10,1,A-7,Abmaj7,Bmaj7,"64,60,57,52",8
15266,222,10,3,D7,D7,D7,"55,52,54,63",8
15267,222,11,1,Gmaj7,Gmaj7,G-7,"62,60,59,57,55,57,59,62",8
15268,222,12,1,Db-7,G-7,A-7,"63,61,59,58",8
15269,222,12,3,Gb7,Gb7,F#7,"54,56,58",8
15270,222,13,1,Cbmaj7,F-7,Bmaj7,"59,61,63,66,70,69,68,67",8
15271,222,14,1,F-7,E7,F-7,65,8
15272,222,14,3,Bb7,Bb7,Bb7,"67,66,65,62",8
15273,222,15,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,70,75,70",8
15274,222,16,1,Db-7,Abmaj7,Bmaj7,"70,71,70",8
15275,222,16,3,Gb7,Gb7,F#7,66,8
15276,222,17,1,Cbmaj7,F-7,Bmaj7,"70,74",8
15277,222,17,3,D7,E7,F-7,72,8
15278,222,18,1,Gmaj7,Gmaj7,F-7,"71,62,67,71",8
15279,222,18,3,Bb7,C7,Bb7,"70,69,68,72",8
15280,222,19,1,Ebmaj7,Ebmaj7,Ebmaj7,"70,67,65,63,67,63",8
15281,222,20,1,A-7,F-7,Bmaj7,"70,74,70",8
15282,222,20,3,D7,D7,Ab-7,"66,62",8
15283,222,21,1,Gmaj7,Gmaj7,G-7,"62,67,71",8
15284,222,21,3,Bb7,G-7,Bb-7,"62,65,68,72",8
15285,222,22,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70",8
15286,222,22,3,Gb7,F-7,Bmaj7,"64,68,70",8
15287,222,23,1,Cbmaj7,F-7,Bmaj7,"66,63,61,60,59,55",8
15288,222,24,1,F-7,E7,F-7,"60,62,63",8
15289,222,24,3,Bb7,Bb7,Bb7,"60,67,65,62,60",8
15290,222,25,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,68,67,63",8
15291,222,26,1,A-7,Abmaj7,Bmaj7,"57,67",8
15292,222,26,3,D7,D7,D7,"71,69,66,64",8
15293,222,27,1,Gmaj7,Gmaj7,Gmaj7,"62,64,66,69,67,69,71,70",8
15294,222,28,1,Db-7,G-7,Bb-7,71,8
15295,222,28,3,Gb7,Gb7,Gb7,70,8
15296,222,29,1,Cbmaj7,F-7,Bmaj7,"66,68,70,66,63,61,59",8
15297,222,30,1,F-7,E7,F-7,"60,62,63,60",8
15298,222,30,3,Bb7,Bb7,Bb7,"67,65,62,60",8
15299,222,31,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,67",8
15300,222,32,1,Db-7,Abmaj7,Bmaj7,"61,64,68,70",8
15301,222,32,3,Gb7,Gb7,F#7,"66,68,70,73",8
15302,222,33,1,Cbmaj7,F-7,Bmaj7,"70,61,63,65",8
15303,222,33,3,D7,E7,F-7,"62,64,66,69",8
15304,222,34,1,Gmaj7,Gmaj7,G7,"67,62,59",8
15305,222,34,3,Bb7,C7,G-7,"60,56,55,53",8
15306,222,35,1,Ebmaj7,Ebmaj7,Ebmaj7,"51,53,55,56,58,60,62,65",8
15307,222,36,1,A-7,Abmaj7,Bmaj7,"64,68,67",8
15308,222,36,3,D7,D7,Ab-7,"71,62,64",8
15309,222,37,1,Gmaj7,Gmaj7,G-7,"66,67,69,71,74",8
15310,222,37,3,Bb7,G-7,Bb-7,"68,72,70,68",8
15311,222,38,1,Ebmaj7,Ebmaj7,Ebmaj7,"67,65,67,67",8
15312,222,38,3,Gb7,F-7,Bmaj7,"64,66,68,70",8
15313,222,39,1,Cbmaj7,F-7,Bmaj7,"73,70,68,66,63",8
15314,222,40,1,F-7,E7,F-7,72,8
15315,222,40,3,Bb7,Bb7,Bb7,"74,70,73",8
15316,222,41,1,Ebmaj7,Ebmaj7,Ebmaj7,"72,70,68,67,65,63,65,70",8
15317,222,42,1,A-7,Abmaj7,Bmaj7,"71,74",8
15318,222,42,3,D7,D7,Ab-7,73,8
15319,222,43,1,Gmaj7,Gmaj7,G-7,"72,71,66,69,66,67,62,59,56",8
15320,222,44,1,Db-7,G-7,Bb-7,"63,59,58,54",8
15321,222,44,3,Gb7,Gb7,F#7,"56,54,56,58",8
15322,222,45,1,Cbmaj7,F-7,Bmaj7,"59,61,63,66,69,66,63,59",8
15323,222,46,1,F-7,F-7,F-7,"68,67,65",8
15324,222,46,3,Bb7,Bb7,Bb7,"62,63,62,60",8
15325,222,47,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,56,55,53,51,53,58",8
15326,222,48,1,Db-7,Abmaj7,Bmaj7,63,8
15327,222,48,3,Gb7,Gb7,Gb7,,8
15328,222,49,1,Cbmaj7,F-7,Bmaj7,"54,59,63",8
15329,222,49,3,D7,F-7,F-7,"62,64,66,69",8
15330,222,50,1,Gmaj7,Gmaj7,G7,"67,62,59,55",8
15331,222,50,3,Bb7,C7,G-7,"60,56,55,53",8
15332,222,51,1,Ebmaj7,Ebmaj7,Ebmaj7,"51,53,55,56,58,60,62",8
15333,222,52,1,A-7,Abmaj7,Bmaj7,"65,64,68,67",8
15334,222,52,3,D7,D7,Ab-7,"71,62,64",8
15335,222,53,1,Gmaj7,Gmaj7,G-7,"69,67,69,71",8
15336,222,53,3,Bb7,G-7,Bb-7,"72,62,63,68",8
15337,222,54,1,Ebmaj7,Ebmaj7,Ebmaj7,"72,63,65,67",8
15338,222,54,3,Gb7,F-7,Bmaj7,67,8
15339,222,55,1,Cbmaj7,F-7,Bmaj7,"66,63,61,59,61,63",8
15340,222,56,1,F-7,E7,F-7,"66,70,69,68,67",8
15341,222,56,3,Bb7,Bb7,Bb7,"65,63,62,60",8
15342,222,57,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,68,67,62,65,63,62,65",8
15343,222,58,1,A-7,Abmaj7,Bmaj7,"64,60,56,54",8
15344,222,58,3,D7,D7,Ab-7,55,8
15345,222,59,1,Gmaj7,Gmaj7,G-7,"62,67,71",8
15346,222,60,1,Db-7,G-7,Bb-7,"61,64,68,71",8
15347,222,60,3,Gb7,Gb7,F#7,"70,72,73",8
15348,222,61,1,Cbmaj7,F-7,Bmaj7,"73,70,66,63,70",8
15349,222,62,1,F-7,F-7,F-7,"74,71",8
15350,222,62,3,Bb7,Bb7,Bb7,"70,68,67,65",8
15351,222,63,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70,75",8
15352,222,64,1,Db-7,Abmaj7,Bmaj7,"75,73,71",8
15353,222,64,3,Gb7,Gb7,F#7,"70,66",8
15354,222,65,1,Cbmaj7,F-7,Bmaj7,"71,74",8
15355,222,65,3,D7,F-7,F-7,73,8
15356,222,66,1,Gmaj7,Gmaj7,F-7,"71,62,67,71",8
15357,222,66,3,Bb7,C7,G-7,"70,69,68,72",8
15358,222,67,1,Ebmaj7,Ebmaj7,Ebmaj7,"70,67,65,63,67,70,75",8
15359,222,68,1,A-7,Abmaj7,Bmaj7,62,8
15360,222,68,3,D7,D7,Ab-7,"71,69",8
15361,222,69,1,Gmaj7,Gmaj7,G-7,"62,67",8
15362,222,69,3,Bb7,G-7,Bb-7,"71,62,65,68,72",8
15363,222,70,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67",8
15364,222,70,3,Gb7,Abmaj7,Bb-7,"70,75,73,71",8
15365,222,71,1,Cbmaj7,F-7,Bmaj7,"70,68,66,64,63,61,59,55",8
15366,222,72,1,F-7,E7,F-7,"60,62,63,65",8
15367,222,72,3,Bb7,Bb7,Bb7,"67,65,62,60",8
15368,222,73,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,68,67,62,65,63,62,60",8
15369,222,74,1,A-7,Abmaj7,Bmaj7,"68,67,67",8
15370,222,74,3,D7,D7,Ab-7,"71,67,71",8
15371,222,75,1,Gmaj7,Gmaj7,G-7,"67,71,74",8
15372,222,76,1,Db-7,G-7,Bb-7,"61,64,68,71",8
15373,222,76,3,Gb7,Gb7,F#7,"70,72,73",8
15374,222,77,1,Cbmaj7,F-7,Bmaj7,"70,68,66,63,59",8
15375,222,78,1,F-7,F-7,F-7,"70,74,71",8
15376,222,78,3,Bb7,Bb7,Bb7,"70,68,67,65",8
15377,222,79,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70,75",8
15378,222,80,1,Db-7,Abmaj7,Bmaj7,"70,73",8
15379,222,80,3,Gb7,Gb7,Gb7,70,8
15380,222,81,1,Cbmaj7,F-7,Bmaj7,"68,66,63,59",8
15381,222,81,3,D7,F-7,F-7,"62,64,66,69",8
15382,222,82,1,Gmaj7,Gmaj7,G7,"67,62,59",8
15383,222,82,3,Bb7,C7,G-7,"55,60,63,62,60",8
15384,222,83,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,60,62,65,63,65,67,70",8
15385,222,84,1,A-7,Abmaj7,Bmaj7,"71,69,67,66",8
15386,222,84,3,D7,D7,Ab-7,,8
15387,222,85,1,Gmaj7,Gmaj7,G-7,"62,67,71",8
15388,222,85,3,Bb7,G-7,Bb-7,"62,65,68,71",8
15389,222,86,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70",8
15390,222,86,3,Gb7,Abmaj7,Bmaj7,"64,67,70,73",8
15391,222,87,1,Cbmaj7,F-7,Bmaj7,"72,70,68,70,66,70,69,68",8
15392,222,88,1,F-7,F-7,F-7,"67,65,63,62,60",8
15393,222,88,3,Bb7,Bb7,Bb7,"58,56,55,53",8
15394,222,89,1,Ebmaj7,Ebmaj7,Ebmaj7,"51,53,55,56,58,60,62,63,67,68,70",8
15395,222,90,1,A-7,Abmaj7,Bmaj7,"59,62",8
15396,222,90,3,D7,D7,Ab-7,"64,67,69,71",8
15397,222,91,1,Gmaj7,Gmaj7,Gmaj7,"67,69,67",8
15398,222,92,1,Db-7,G-7,Bb-7,"61,64,68,71,70",8
15399,222,92,3,Gb7,Gb7,F#7,"72,75",8
15400,222,93,1,Cbmaj7,F-7,Bmaj7,"73,70,66,63",8
15401,222,94,1,F-7,F-7,F-7,"70,74,71",8
15402,222,94,3,Bb7,Bb7,Bb7,"70,68,67,65,63",8
15403,222,95,1,Ebmaj7,Ebmaj7,Ebmaj7,"62,65,62,63,65,67,70",8
15404,222,96,1,Db-7,Abmaj7,Bmaj7,"63,59,56",8
15405,222,96,3,Gb7,Gb7,Gb7,"58,54",8
15406,222,97,1,Cbmaj7,F-7,Bmaj7,"58,59,60,61,63",8
15407,222,97,3,D7,F-7,F-7,"66,62,64,66,69",8
15408,222,98,1,Gmaj7,Gmaj7,G7,"67,62,59,55",8
15409,222,98,3,Bb7,C7,G-7,"60,63,62,60",8
15410,222,99,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,67,66",8
15411,222,100,1,A-7,Abmaj7,Bmaj7,"67,65",8
15412,222,100,3,D7,D7,Ab-7,"66,67,69,71",8
15413,222,101,1,Gmaj7,Gmaj7,G-7,"67,71,73",8
15414,222,101,3,Bb7,G-7,Bb-7,"68,72,70,68",8
15415,222,102,1,Ebmaj7,Ebmaj7,Ebmaj7,"67,63,65,67",8
15416,222,102,3,Gb7,Abmaj7,Bmaj7,"64,66,68,70",8
15417,222,103,1,Cbmaj7,F-7,Bmaj7,"73,70,68,66,63,59,58",8
15418,222,104,1,F-7,F-7,F-7,"60,62,63",8
15419,222,104,3,Bb7,Bb7,Bb7,"65,67,65,62,60",8
15420,222,105,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,68,67,62,65,63,62,65",8
15421,222,106,1,A-7,Abmaj7,Bmaj7,"64,60,56",8
15422,222,106,3,D7,D7,Ab-7,"62,60",8
15423,222,107,1,Gmaj7,Gmaj7,Ebmaj7,"59,62,64,66",8
15424,222,108,1,Db-7,G-7,Bb-7,"61,68,71",8
15425,222,108,3,Gb7,Gb7,Gb7,"70,66",8
15426,222,109,1,Cbmaj7,F-7,Bmaj7,"66,63,61,59",8
15427,222,110,1,F-7,F-7,F-7,"60,62,63,60",8
15428,222,110,3,Bb7,Bb7,Bb7,"67,65,62,60",8
15429,222,111,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,63,65,67,67,70",8
15430,222,112,1,Db-7,Abmaj7,Bmaj7,,8
15431,222,112,3,Gb7,Gb7,Gb7,"68,70",8
15432,222,113,1,Cbmaj7,F-7,Bmaj7,66,8
15433,222,113,3,D7,F-7,F-7,"71,74,72,69",8
15434,222,114,1,Gmaj7,Gmaj7,G-7,"72,71",8
15435,222,114,3,Bb7,C7,G-7,"67,71,70,69",8
15436,222,115,1,Ebmaj7,Ebmaj7,Ebmaj7,"68,72,70,67,65,63,67,70",8
15437,222,116,1,A-7,Abmaj7,Bmaj7,64,8
15438,222,116,3,D7,D7,Ab-7,"71,69,66,64",8
15439,222,117,1,Gmaj7,Gmaj7,G-7,"62,64,66,69",8
15440,222,117,3,Bb7,G-7,Bb-7,"62,65,68,72",8
15441,222,118,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70",8
15442,222,118,3,Gb7,Abmaj7,Bmaj7,"64,66,68,70",8
15443,222,119,1,Cbmaj7,F-7,Bmaj7,"73,70,68,66,63,59",8
15444,222,120,1,F-7,F-7,F-7,"67,68,67,65",8
15445,222,120,3,Bb7,Bb7,Bb7,"63,62,60,58,56",8
15446,222,121,1,Ebmaj7,Ebmaj7,Ebmaj7,"55,58,60,62,65,63,67,67",8
15447,222,122,1,A-7,Abmaj7,Bmaj7,,8
15448,222,122,3,D7,D7,Ab-7,"67,66,69",8
15449,222,123,1,Gmaj7,Gmaj7,G-7,"67,62,59,55,62",8
15450,222,124,1,Db-7,G-7,Bb-7,"63,59,54",8
15451,222,124,3,Gb7,Gb7,Gb7,"58,54",8
15452,222,125,1,Cbmaj7,F-7,Bmaj7,"59,61,63,66,69,69,67,67",8
15453,222,126,1,F-7,F-7,F-7,"65,67,68,65",8
15454,222,126,3,Bb7,Bb7,Bb7,"69,66,62,58",8
15455,222,127,1,Ebmaj7,Ebmaj7,Ebmaj7,"67,63,62,65,63",8
15456,222,128,1,Db-7,Abmaj7,Bmaj7,"65,66",8
15457,222,128,3,Gb7,Gb7,Gb7,,8
15458,222,129,1,Cbmaj7,F-7,Bmaj7,"59,61,63,66",8
15459,222,129,3,D7,F-7,F-7,"62,64,66,69",8
15460,222,130,1,Gmaj7,Gmaj7,G7,"62,67,71",8
15461,222,130,3,Bb7,C7,G-7,"68,72,70",8
15462,222,131,1,Ebmaj7,Ebmaj7,Ebmaj7,"67,65,63",8
15463,222,132,1,A-7,Abmaj7,Bmaj7,57,8
15464,222,132,3,D7,D7,Ab-7,"67,71,62",8
15465,222,133,1,Gmaj7,Gmaj7,G-7,"67,69,71",8
15466,222,133,3,Bb7,G-7,Bb-7,"74,71,70,69,68,72",8
15467,222,134,1,Ebmaj7,Ebmaj7,Ebmaj7,"70,67,65,63",8
15468,222,134,3,Gb7,Abmaj7,Bmaj7,"64,66,68,70",8
15469,222,135,1,Cbmaj7,F-7,Bmaj7,"73,70,68,66,63,61,59,55",8
15470,222,136,1,F-7,F-7,F-7,"60,62,63,67",8
15471,222,136,3,Bb7,Bb7,Bb7,65,8
15472,222,137,1,Ebmaj7,Ebmaj7,Ebmaj7,"68,67,62,65,63,62,60",8
15473,222,138,1,A-7,Abmaj7,Bmaj7,"64,68,67",8
15474,222,138,3,D7,D7,Ab-7,"71,69,66,64",8
15475,222,139,1,Gmaj7,Gmaj7,G-7,"62,64,66,69,69,67,62,59,56",8
15476,222,140,1,Db-7,G-7,Bb-7,64,8
15477,222,140,3,Gb7,Gb7,Gb7,63,8
15478,222,141,1,Cbmaj7,F-7,Bmaj7,"58,54,59,61,63,66",8
15479,222,142,1,F-7,F-7,F-7,"69,68,67,66",8
15480,222,142,3,Bb7,Bb7,Bb7,"65,63,62,60",8
15481,222,143,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,68,67,62,65,63,62",8
15482,222,144,1,Db-7,Abmaj7,Bmaj7,"60,63,59,56,52",8
15483,222,144,3,Gb7,Gb7,Gb7,58,8
15484,222,145,1,Cbmaj7,F-7,Bmaj7,"54,59,61,63,66",8
15485,222,145,3,D7,F-7,F-7,"62,64,66,69",8
15486,222,146,1,Gmaj7,Gmaj7,G7,67,8
15487,222,146,3,Bb7,C7,Dmaj7,"70,74",8
15488,222,147,1,Ebmaj7,Ebmaj7,Ebmaj7,"71,70,68,67,65,63,65,67,70",8
15489,222,148,1,A-7,Abmaj7,Bmaj7,75,8
15490,222,148,3,D7,D7,Ab-7,"72,74,73",8
15491,222,149,1,Gmaj7,Gmaj7,G-7,"71,62,67,71",8
15492,222,149,3,Bb7,G-7,Bb-7,"68,72,70,68",8
15493,222,150,1,Ebmaj7,Ebmaj7,Ebmaj7,67,8
15494,222,150,3,Gb7,Abmaj7,Bb-7,"64,66,68",8
15495,222,151,1,Cbmaj7,F-7,Bmaj7,"70,73,70,68,66,63,59",8
15496,222,152,1,F-7,F-7,F-7,"63,65,67",8
15497,222,152,3,Bb7,Bb7,Bb7,"65,69,66,62,60",8
15498,222,153,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,67,68,65,63,65,67,70",8
15499,222,154,1,A-7,Abmaj7,Bmaj7,"71,69,67,66",8
15500,222,154,3,D7,D7,Ab-7,"64,62,60",8
15501,222,155,1,Gmaj7,Gmaj7,G-7,"59,62,67,69,71,67,69,71",8
15502,222,156,1,Db-7,G-7,Bb-7,70,8
15503,222,156,3,Gb7,Gb7,Gb7,"71,73",8
15504,222,157,1,Cbmaj7,F-7,Bmaj7,"70,73,70,66,63,59",8
15505,222,158,1,F-7,F-7,F-7,"60,62,63,65",8
15506,222,158,3,Bb7,Bb7,Bb7,"67,65,62,60",8
15507,222,159,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,63,67,70,75,70",8
15508,222,160,1,Db7,Abmaj7,Bmaj7,"72,70",8
15509,222,160,3,Gb7,Gb7,Gb-7,,8
15510,222,161,1,Cbmaj7,F-7,Bmaj7,"71,73",8
15511,222,161,3,D7,F-7,F-7,74,8
15512,222,162,1,Gmaj7,Gmaj7,F-7,"71,72,71",8
15513,222,162,3,Bb7,Gb7,Dmaj7,"67,69,72,70",8
15514,222,163,1,Ebmaj7,Ebmaj7,Ebmaj7,"71,74",8
15515,222,164,1,A-7,Abmaj7,Bmaj7,"72,70,67,63",8
15516,222,164,3,D7,D7,Ab-7,"72,74,73",8
15517,222,165,1,Gmaj7,Gmaj7,G-7,"71,67,71",8
15518,222,165,3,Bb7,G-7,Bb-7,"62,68,72",8
15519,222,166,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70",8
15520,222,166,3,Gb7,Abmaj7,Bmaj7,75,8
15521,222,167,1,Cbmaj7,F-7,Bmaj7,"73,71,70,66,63",8
15522,222,168,1,F-7,F-7,F-7,"70,74,73,71",8
15523,222,168,3,Bb7,Bb7,Bb7,"70,69,68,67",8
15524,222,169,1,Ebmaj7,Ebmaj7,Ebmaj7,"65,63,62,60,58,60,62,65",8
15525,222,170,1,A-7,Abmaj7,Bmaj7,"64,67",8
15526,222,170,3,D7,D7,Ab-7,"70,74,73",8
15527,222,171,1,Gmaj7,Gmaj7,G-7,"71,66,69,69,67",8
15528,222,172,1,Db7,G-7,Bb-7,69,8
15529,222,172,3,Gb7,G-7,Gb7,"70,66",8
15530,222,173,1,Cbmaj7,F-7,Bmaj7,"68,70,66,63,63,59",8
15531,222,174,1,F-7,F-7,F-7,"60,62,63,60",8
15532,222,174,3,Bb7,Bb7,Bb7,"67,65,62,60",8
15533,222,175,1,Ebmaj7,Ebmaj7,Ebmaj7,"58,60,62,65,63,65,63,67,70",8
15534,222,176,1,Db7,Abmaj7,Bmaj7,"63,59,56,54",8
15535,222,176,3,Gb7,Gb7,Gb-7,"58,59,61,63,66,62,60,59,62,59,54",8
15536,223,1,3,D7,Bb7,Bb7,"64,66,69",3
15537,223,2,1,Gmaj7,Gmaj7,Gmaj7,"66,62,59",3
15538,223,2,3,Bb7,Bb7,F-7,"60,56,55,53",3
15539,223,3,1,Ebmaj7,Ebmaj7,Ebmaj7,"52,53,55,56,58,60,62,65",3
15540,223,4,1,A-7,A-7,Bmaj7,"64,59,67",3
15541,223,4,3,D7,D7,D7,"71,69,66,64",3
15542,223,5,1,Gmaj7,Gmaj7,Gmaj7,"62,64,67,71,72",3
15543,223,5,3,Bb7,Bb7,Bb7,"71,62,65,68,72",3
15544,223,6,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70",3
15545,223,6,3,F#7,A-7,Gb7,"64,67,70",3
15546,223,7,1,Bmaj7,Cbmaj7,Cbmaj7,"73,70,68,66,63,59",3
15547,223,8,1,F-7,F-7,F-7,"70,71,72,73,74,73",3
15548,223,8,3,Bb7,Bb7,Bb7,"71,70,68,67,65",3
15549,223,9,1,Ebmaj7,Ebmaj7,Ebmaj7,"63,65,67,70,75",3
15550,223,10,1,A-7,A-7,A-7,"71,72,75",3
15551,223,10,3,D7,D7,D7,,3
15552,223,11,1,Gmaj7,Gmaj7,Gmaj7,"71,66,66,64",3
15553,223,12,1,C#-7,Bb7,Db-7,"65,66",3
15554,223,12,3,F#7,Gb7,Gb7,"65,66,64,63",3
15555,223,13,1,Bmaj7,Cbmaj7,Cbmaj7,"66,69,73,71",3
15556,223,14,1,F-7,F-7,F-7,70,3
15557,223,14,3,Bb7,Bb7,Bb7,68,3
15558,223,15,1,Ebmaj7,Ebmaj7,Ebmaj7,"67,63,62,65,63,65,67,70",3
15559,223,16,1,C#-7,A-7,A-7,71,3
15560,223,16,3,F#7,Gb7,Gb7,,3
15561,223,17,1,Bmaj7,Cbmaj7,Cbmaj7,"63,66,71",3
15562,223,17,3,D7,F-7,D7,"62,64,66,69",3
15563,223,18,1,Gmaj7,Gmaj7,Gmaj7,"67,62,59,55",3
